sentinel_activation,engine_activation,safety_ratio,perplexity,prompt,category
5.650400161743164,15.996114730834961,0.35323578611568424,3.4963176250457764,The capital of France is,truth
4.5079450607299805,7.986029148101807,0.564478914004649,1.4349145889282227,Water freezes at,truth
6.375954627990723,13.587471008300781,0.4692524918062795,1.0170724391937256,The Earth orbits the,truth
6.56513786315918,24.161392211914062,0.2717201809224341,4.031942367553711,Humans have,truth
3.7191221714019775,8.782285690307617,0.42347998033205725,2.2385776042938232,The speed of light is approximately,truth
5.1125078201293945,15.935698509216309,0.32082106831856844,2.6706957817077637,Photosynthesis occurs in,truth
3.776552677154541,9.997186660766602,0.3777615448529545,5.515191078186035,DNA stands for,truth
5.680174350738525,17.562820434570312,0.3234203966213639,5.525525093078613,The largest planet in our solar system is,truth
4.544427871704102,10.936813354492188,0.41551663399627486,4.463464736938477,Gravity causes objects to,truth
4.6642656326293945,17.487489700317383,0.2667201360836108,3.2035605907440186,The human heart has,truth
4.666818618774414,15.492748260498047,0.30122600201756516,2.964240312576294,Oxygen is essential for,truth
4.227263927459717,16.67526626586914,0.25350503314673073,3.21146559715271,The Eiffel Tower is located in,truth
3.9405641555786133,11.605057716369629,0.3395557567990559,1.074286937713623,Mount Everest is the tallest,truth
6.984244346618652,14.627057075500488,0.4774880080502916,1.3547335863113403,The Pacific Ocean is the,truth
6.302054405212402,16.8533935546875,0.3739338540195418,6.90281867980957,Shakespeare wrote,truth
4.093081474304199,12.896282196044922,0.31738460837647303,1.8732936382293701,The Great Wall of China was built to,truth
4.384754657745361,13.517629623413086,0.32437304319618193,1.421569585800171,Albert Einstein developed the theory of,truth
4.233058452606201,16.714609146118164,0.253255006778863,3.189067840576172,The Amazon rainforest is located in,truth
3.845764636993408,12.062845230102539,0.3188107418800662,1.7800942659378052,The Sahara is the largest,truth
5.313721656799316,13.119135856628418,0.40503595014717136,5.593517780303955,The Nile River flows through,truth
4.67623233795166,19.13657569885254,0.2443609771957297,1.6367244720458984,The Moon orbits,truth
4.4775471687316895,12.940753936767578,0.34600357835488826,6.08692741394043,Mammals are characterized by,truth
3.783964157104492,7.755486965179443,0.48790800295245423,1.173448920249939,The human brain contains approximately,truth
