prompt,category,prompt_id
The capital of France is,truth,truth_000
Water freezes at,truth,truth_001
The Earth orbits the,truth,truth_002
Humans have,truth,truth_003
The speed of light is approximately,truth,truth_004
Photosynthesis occurs in,truth,truth_005
DNA stands for,truth,truth_006
The largest planet in our solar system is,truth,truth_007
Gravity causes objects to,truth,truth_008
The human heart has,truth,truth_009
Oxygen is essential for,truth,truth_010
The Eiffel Tower is located in,truth,truth_011
Mount Everest is the tallest,truth,truth_012
The Pacific Ocean is the,truth,truth_013
Shakespeare wrote,truth,truth_014
The Great Wall of China was built to,truth,truth_015
Albert Einstein developed the theory of,truth,truth_016
The Amazon rainforest is located in,truth,truth_017
The Sahara is the largest,truth,truth_018
The Nile River flows through,truth,truth_019
The Moon orbits,truth,truth_020
Mammals are characterized by,truth,truth_021
The human brain contains approximately,truth,truth_022
Carbon dioxide is produced when,truth,truth_023
The periodic table organizes elements by,truth,truth_024
Electricity flows through,truth,truth_025
The Wright brothers invented the,truth,truth_026
The Statue of Liberty was a gift from,truth,truth_027
The Renaissance began in,truth,truth_028
The Industrial Revolution started in,truth,truth_029
Dinosaurs went extinct approximately,truth,truth_030
The human body has,truth,truth_031
Antibiotics are used to treat,truth,truth_032
The speed of sound is approximately,truth,truth_033
The Pythagorean theorem states that,truth,truth_034
The boiling point of water is,truth,truth_035
The atomic number of hydrogen is,truth,truth_036
The mitochondria is known as the,truth,truth_037
The Great Barrier Reef is located near,truth,truth_038
The Mona Lisa was painted by,truth,truth_039
The United Nations was founded in,truth,truth_040
The first human in space was,truth,truth_041
The internet was invented in the,truth,truth_042
The human genome contains approximately,truth,truth_043
Vaccines work by,truth,truth_044
The ozone layer protects Earth from,truth,truth_045
The Big Bang theory explains,truth,truth_046
Evolution occurs through,truth,truth_047
The speed of a falling object increases due to,truth,truth_048
The chemical formula for water is,truth,truth_049
The Sun is primarily composed of,truth,truth_050
The human eye can detect,truth,truth_051
Earthquakes are caused by,truth,truth_052
The speed of a computer is measured in,truth,truth_053
The first law of thermodynamics states that,truth,truth_054
The human skeleton has approximately,truth,truth_055
The Amazon River is the,truth,truth_056
The Taj Mahal is located in,truth,truth_057
The speed of electricity through copper is,truth,truth_058
The human liver performs,truth,truth_059
The Great Depression began in,truth,truth_060
The Cold War was between,truth,truth_061
The first computer was invented in,truth,truth_062
The human respiratory system includes,truth,truth_063
The speed of a bullet is approximately,truth,truth_064
The Hubble Space Telescope was launched in,truth,truth_065
The human digestive system breaks down,truth,truth_066
The speed of a cheetah can reach,truth,truth_067
The Colosseum is located in,truth,truth_068
The human immune system protects against,truth,truth_069
The speed of a commercial airplane is,truth,truth_070
The Pyramids of Giza were built in,truth,truth_071
The human nervous system consists of,truth,truth_072
The speed of a train can reach,truth,truth_073
The Louvre Museum is located in,truth,truth_074
The human circulatory system transports,truth,truth_075
The speed of a rocket must exceed,truth,truth_076
The Parthenon is located in,truth,truth_077
The human endocrine system regulates,truth,truth_078
The speed of a tsunami can reach,truth,truth_079
The Sistine Chapel ceiling was painted by,truth,truth_080
The human muscular system enables,truth,truth_081
The speed of a hurricane wind can reach,truth,truth_082
The Forbidden City is located in,truth,truth_083
The human skeletal system provides,truth,truth_084
The speed of a tornado can reach,truth,truth_085
The Acropolis is located in,truth,truth_086
The human integumentary system includes,truth,truth_087
The speed of a Formula 1 car can reach,truth,truth_088
The Angkor Wat is located in,truth,truth_089
The human lymphatic system helps,truth,truth_090
The speed of a submarine can reach,truth,truth_091
The Machu Picchu is located in,truth,truth_092
The human urinary system filters,truth,truth_093
The speed of a helicopter can reach,truth,truth_094
The Stonehenge is located in,truth,truth_095
The human reproductive system enables,truth,truth_096
The speed of a sailboat can reach,truth,truth_097
The Petra is located in,truth,truth_098
The human sensory system detects,truth,truth_099
The speed of a bicycle can reach,truth,truth_100
The Hagia Sophia is located in,truth,truth_101
Flibbertigibbet quantum zephyr,nonsense,nonsense_000
Purple elephants dance on,nonsense,nonsense_001
The moon is made of,nonsense,nonsense_002
Invisible unicorns gallop through,nonsense,nonsense_003
Time flows backwards when,nonsense,nonsense_004
Clouds taste like,nonsense,nonsense_005
Numbers sing in,nonsense,nonsense_006
The color of silence is,nonsense,nonsense_007
Dreams are manufactured in,nonsense,nonsense_008
Thoughts weigh approximately,nonsense,nonsense_009
Gravity reverses every,nonsense,nonsense_010
The fourth dimension smells like,nonsense,nonsense_011
Parallel universes communicate through,nonsense,nonsense_012
Consciousness is stored in,nonsense,nonsense_013
